,Movie_Name,Rating
0,       1.       Pather Panchali (1955) , 8.5 
1,       2.       Gol Maal (1979) , 8.5 
2,       3.       Nayakan (1987) , 8.5 
3,       4.       Anbe Sivam (2003) , 8.5 
4,       5.       Apur Sansar (1959) , 8.5 
5,       6.       Pariyerum Perumal (2018) , 8.4 
6,       7.       Natsamrat (2016) , 8.4 
7,       8.       Drishyam 2 (2021) , 8.4 
8,       9.       Kireedam (1989) , 8.4 
9,       10.       Manichitrathazhu (1993) , 8.4 
10,       11.       Black Friday (2004) , 8.4 
11,       12.       Thevar Magan (1992) , 8.4 
12,       13.       96 (2018) , 8.4 
13,       14.       Kumbalangi Nights (2019) , 8.4 
14,       15.       3 Idiots (2009) , 8.4 
15,       16.       Taare Zameen Par (2007) , 8.3 
16,       17.       Visaaranai (2015) , 8.3 
17,       18.       Dangal (2016) , 8.3 
18,       19.       Ratsasan (2018) , 8.3 
19,       20.       Thalapathi (1991) , 8.3 
20,       21.       Aparajito (1956) , 8.3 
21,       22.       Jaane Bhi Do Yaaro (1983) , 8.3 
22,       23.       Pyaasa (1957) , 8.3 
23,       24.       Guide (1965) , 8.3 
24,       25.       Jersey (2019) , 8.3 
25,       26.       Kannathil Muthamittal (2002) , 8.3 
26,       27.       Asuran (2019) , 8.2 
27,       28.       Chupke Chupke (1975) , 8.2 
28,       29.       Kaithi (2019) , 8.2 
29,       30.       Thani Oruvan (2015) , 8.2 
30,       31.       Anand (1971) , 8.2 
31,       32.       Vada Chennai (2018) , 8.2 
32,       33.       Peranbu (2018) , 8.2 
33,       34.       Drishyam (2013) , 8.2 
34,       35.       Vikram Vedha (2017) , 8.2 
35,       36.       Iruvar (1997) , 8.2 
36,       37.       Soorarai Pottru (2020) , 8.2 
37,       38.       Aruvi (2016) , 8.2 
38,       39.       Khosla Ka Ghosla! (2006) , 8.2 
39,       40.       Super Deluxe (2019) , 8.2 
40,       41.       Agent Sai Srinivasa Athreya (2019) , 8.2 
41,       42.       Tumbbad (2018) , 8.2 
42,       43.       Mahanati (2018) , 8.2 
43,       44.       Andhadhun (2018) , 8.2 
44,       45.       Kaakkaa Muttai (2014) , 8.2 
45,       46.       Premam (2015) , 8.2 
46,       47.       Satya (1998) , 8.2 
47,       48.       Shahid (2012) , 8.2 
48,       49.       Dhuruvangal Pathinaaru (2016) , 8.2 
49,       50.       Anniyan (2005) , 8.2 
50,       51.       Bangalore Days (2014) , 8.2 
51,       52.       Mudhalvan (1999) , 8.2 
52,       53.       Papanasam (2015) , 8.1 
53,       54.       Soodhu Kavvum (2013) , 8.1 
54,       55.       Gangs of Wasseypur (2012) , 8.1 
55,       56.       Jigarthanda (2014) , 8.1 
56,       57.       Bhaag Milkha Bhaag (2013) , 8.1 
57,       58.       Sairat (2016) , 8.1 
58,       59.       Paan Singh Tomar (2012) , 8.1 
59,       60.       Sholay (1975) , 8.1 
60,       61.       Talvar (2015) , 8.1 
61,"       62.       Swades: We, the People (2004) ", 8.1 
62,       63.       Hera Pheri (2000) , 8.1 
63,       64.       Pithamagan (2003) , 8.1 
64,       65.       Charulata (1964) , 8.1 
65,       66.       Nil Battey Sannata (2015) , 8.1 
66,       67.       Drishyam (2015) , 8.1 
67,       68.       Chak De! India (2007) , 8.1 
68,       69.       Black (2005) , 8.1 
69,       70.       Mughal-E-Azam (1960) , 8.1 
70,       71.       Jo Jeeta Wohi Sikandar (1992) , 8.1 
71,       72.       Udaan (2010) , 8.1 
72,       73.       Ustad Hotel (2012) , 8.1 
73,       74.       Zindagi Na Milegi Dobara (2011) , 8.1 
74,       75.       A Wednesday (2008) , 8.1 
75,       76.       Article 15 (2019) , 8.1 
76,       77.       Queen (2013) , 8.1 
77,       78.       Rang De Basanti (2006) , 8.1 
78,       79.       Munna Bhai M.B.B.S. (2003) , 8.1 
79,       80.       Dil Chahta Hai (2001) , 8.1 
80,       81.       Maheshinte Prathikaaram (2016) , 8.1 
81,       82.       Sarfarosh (1999) , 8.1 
82,       83.       Masaan (2015) , 8.1 
83,       84.       OMG: Oh My God! (2012) , 8.1 
84,       85.       Andaz Apna Apna (1994) , 8.1 
85,       86.       Roja (1992) , 8.1 
86,       87.       Alai Payuthey (2000) , 8.1 
87,       88.       Lagaan: Once Upon a Time in India (2001) , 8.1 
88,       89.       Baasha (1995) , 8.1 
89,       90.       Theeran adhigaaram ondru (2017) , 8.1 
90,       91.       Kahaani (2012) , 8.1 
91,       92.       PK (2014) , 8.1 
92,       93.       Lucia (2013) , 8.1 
93,       94.       Iqbal (2005) , 8.1 
94,       95.       Uri: The Surgical Strike (2018) , 8.1 
95,       96.       The Legend of Bhagat Singh (2002) , 8.0 
96,       97.       Barfi! (2012) , 8.0 
97,       98.       Pink (2016) , 8.0 
98,       99.       Bommarillu (2006) , 8.0 
99,       100.       Bombay (1995) , 8.0 
100,       101.       Maqbool (2003) , 8.0 
101,       102.       Omkara (2006) , 8.0 
102,       103.       Section 375 (2019) , 8.0 
103,       104.       Lage Raho Munna Bhai (2006) , 8.0 
104,       105.       Chhichhore (2019) , 8.0 
105,       106.       Indian (1996) , 8.0 
106,       107.       Deewaar (1975) , 8.0 
107,       108.       Baahubali 2: The Conclusion (2017) , 8.0 
108,       109.       Dilwale Dulhania Le Jayenge (1995) , 8.0 
109,       110.       Gulaal (2009) , 8.0 
110,       111.       Padosan (1968) , 8.0 
111,       112.       Pelli Choopulu (2016) , 8.0 
112,       113.       Haider (2014) , 8.0 
113,       114.       Naduvula Konjam Pakkatha Kaanom (2012) , 8.0 
114,       115.       Athadu (2005) , 8.0 
115,       116.       Mother India (1957) , 8.0 
116,       117.       Ugly (2013) , 8.0 
117,       118.       Thadam (2019) , 8.0 
118,       119.       Take Off (2017) , 8.0 
119,       120.       Gully Boy (2019) , 8.0 
120,       121.       Padayappa (1999) , 8.0 
121,       122.       Rangasthalam (2018) , 8.0 
122,       123.       Special Chabbis (2013) , 7.9 
123,       124.       Ship of Theseus (2012) , 7.9 
124,       125.       Dev.D (2009) , 7.9 
125,       126.       Aadukalam (2011) , 7.9 
126,       127.       Badhaai ho (2018) , 7.9 
127,       128.       Jalsaghar (1958) , 7.9 
128,       129.       Ulidavaru Kandanthe (2014) , 7.9 
129,       130.       Bajrangi Bhaijaan (2015) , 7.9 
130,       131.       Vaastav: The Reality (1999) , 7.9 
131,       132.       Vedam (2010) , 7.9 
132,       133.       Vaaranam Aayiram (2008) , 7.9 
133,       134.       Ankhon Dekhi (2013) , 7.9 
134,       135.       Company (2002) , 7.9 
135,       136.       Arjun Reddy (2017) , 7.9 
136,       137.       Mukkabaaz (2017) , 7.9 
137,       138.       K.G.F: Chapter 1 (2018) , 7.9 
138,       139.       Manjhi: The Mountain Man (2015) , 7.9 
139,       140.       Pizza (2012) , 7.9 
140,       141.       My Name Is Khan (2010) , 7.9 
141,       142.       Kal Ho Naa Ho (2003) , 7.9 
142,       143.       Jab We Met (2007) , 7.9 
143,       144.       Mumbai Police (2013) , 7.9 
144,       145.       Memories (2013) , 7.9 
145,       146.       Angamaly Diaries (2017) , 7.8 
146,       147.       Dil Bechara (2020) , 7.8 
147,       148.       Unnaipol Oruvan (2009) , 7.8 
148,       149.       Border (1997) , 7.8 
149,       150.       Padman (2018) , 7.8 
150,       151.       Charlie (2015) , 7.8 
151,       152.       Lakshya (2004) , 7.8 
152,       153.       Dor (2006) , 7.8 
153,       154.       Kaakha..Kaakha: The Police (2003) , 7.8 
154,       155.       Super 30 (2019) , 7.8 
155,       156.       Vettaiyaadu Vilaiyaadu (2006) , 7.8 
156,       157.       Ḅhubali: The Beginning (2015) , 7.8 
157,       158.       Airlift (2016) , 7.8 
158,       159.       Hey Ram (2000) , 7.8 
159,       160.       Baby (2015) , 7.8 
160,       161.       Karnan (2021) , 7.8 
161,       162.       English Vinglish (2012) , 7.8 
162,       163.       Okkadu (2003) , 7.8 
163,       164.       Gangaajal (2003) , 7.8 
164,       165.       Hindi Medium (2017) , 7.8 
165,       166.       Manam (2014) , 7.8 
166,       167.       The Lunchbox (2013) , 7.8 
167,       168.       Johnny Gaddaar (2007) , 7.8 
168,       169.       Ab Tak Chhappan (2004) , 7.8 
169,       170.       Secret Superstar (2017) , 7.8 
170,       171.       Badla (2019) , 7.8 
171,       172.       Sonchiriya (2019) , 7.7 
172,       173.       Pokiri (2006) , 7.7 
173,       174.       Mr. India (1987) , 7.7 
174,       175.       Nayak: The Real Hero (2001) , 7.7 
175,       176.       Vicky Donor (2012) , 7.7 
176,       177.       Raazi (2018) , 7.7 
177,       178.       Udta Punjab (2016) , 7.7 
178,       179.       Don (1978) , 7.7 
179,       180.       Stanley Ka Dabba (2011) , 7.7 
180,       181.       RangiTaranga (2015) , 7.7 
181,       182.       Rock On!! (2008) , 7.7 
182,       183.       Veer-Zaara (2004) , 7.7 
183,       184.       Dasvidaniya (2008) , 7.7 
184,       185.       Aligarh (2015) , 7.7 
185,       186.       Guru (2007) , 7.7 
186,       187.       Samsara (2001) , 7.7 
187,       188.       Ko (2011) , 7.7 
188,       189.       Goodachari (2018) , 7.7 
189,       190.       Arya (2004) , 7.7 
190,       191.       Velaiilla Pattadhari (2014) , 7.7 
191,       192.       M.S. Dhoni: The Untold Story (2016) , 7.7 
192,       193.       Oye Lucky! Lucky Oye! (2008) , 7.7 
193,       194.       Mumbai Meri Jaan (2008) , 7.7 
194,       195.       Kai po che! (2013) , 7.7 
195,       196.       Rockstar (2011) , 7.6 
196,       197.       Kapoor & Sons (2016) , 7.6 
197,       198.       Eega (2012) , 7.6 
198,       199.       Kabhi Haan Kabhi Naa (1994) , 7.6 
199,       200.       Darr (1993) , 7.6 
200,       201.       Newton (2017) , 7.6 
201,       202.       24 (2016) , 7.6 
202,       203.       Aamir (2008) , 7.6 
203,       204.       Ugramm (2014) , 7.6 
204,       205.       Avane Srimannarayana (2019) , 7.6 
205,       206.       Earth (1998) , 7.6 
206,       207.       Agneepath (1990) , 7.6 
207,       208.       Madras Cafe (2013) , 7.6 
208,       209.       Sarkar (2005) , 7.6 
209,       210.       Pyaar Ka Punchnama (2011) , 7.6 
210,       211.       Neerja (2016) , 7.6 
211,       212.       The Tashkent Files (2019) , 7.6 
212,       213.       Bheja Fry (2007) , 7.6 
213,       214.       Thuppakki (2012) , 7.6 
214,       215.       Highway (2014) , 7.6 
215,       216.       Detective Byomkesh Bakshy! (2015) , 7.6 
216,       217.       Magadheera (2009) , 7.6 
217,       218.       Baazigar (1993) , 7.6 
218,       219.       Kaththi (2014) , 7.6 
219,       220.       Manorama: Six Feet Under (2007) , 7.6 
220,       221.       Tanu Weds Manu Returns (2015) , 7.6 
221,       222.       Saala Khadoos (2016) , 7.6 
222,       223.       Wake Up Sid (2009) , 7.6 
223,       224.       Piku (2015) , 7.6 
224,       225.       1 - Nenokkadine (2014) , 7.6 
225,       226.       Kannum Kannum Kollaiyadithaal (2020) , 7.6 
226,       227.       Kuch Kuch Hota Hai (1998) , 7.5 
227,       228.       Sanju (2018) , 7.5 
228,       229.       Dhruva (2016) , 7.5 
229,       230.       Nerkonda Paarvai (2019) , 7.5 
230,       231.       Delhi Belly (2011) , 7.5 
231,       232.       Jodhaa Akbar (2008) , 7.5 
232,       233.       Ludo (2020) , 7.5 
233,       234.       Devdas (2002) , 7.5 
234,       235.       Parmanu: The Story of Pokhran (2018) , 7.5 
235,       236.       Stree (2018) , 7.5 
236,       237.       Trapped (2016) , 7.5 
237,       238.       Geetha Govindam (2018) , 7.5 
238,       239.       Raanjhanaa (2013) , 7.5 
239,       240.       Dil Se.. (1998) , 7.5 
240,       241.       Hungama (2003) , 7.5 
241,       242.       Ek Hasina Thi (2004) , 7.5 
242,       243.       Lootcase (2020) , 7.5 
243,       244.       Bhavesh Joshi Superhero (2018) , 7.5 
244,       245.       Rocket Singh: Salesman of the Year (2009) , 7.5 
245,       246.       Rehnaa Hai Terre Dil Mein (2001) , 7.5 
246,       247.       Jolly LLB (2013) , 7.5 
247,       248.       Madaari (2016) , 7.5 
248,       249.       The Ghazi Attack (2017) , 7.5 
249,       250.       Do Dooni Chaar (2010) , 7.5 
